	NC_pcr003	NC_pcr001	NC_pcr002
Zotu660	0	0	0
Zotu883	0	0	0
Zotu297	0	0	0
Zotu490	0	0	0
Zotu1027	0	0	0
Zotu1038	0	0	0
Zotu670	0	0	0
Zotu1039	0	0	0
Zotu134	0	0	0
Zotu666	0	0	0
Zotu665	0	0	0
Zotu570	0	0	0
Zotu633	0	0	0
Zotu350	0	0	0
Zotu872	0	0	0
Zotu996	0	0	0
Zotu662	0	0	0
Zotu1000	0	0	0
Zotu1002	0	0	0
Zotu1003	0	0	0
Zotu569	0	0	0
Zotu564	0	0	0
Zotu986	0	0	0
Zotu638	0	0	0
Zotu871	0	0	0
Zotu988	0	0	0
Zotu1007	0	0	0
Zotu643	0	0	0
Zotu649	0	0	0
Zotu647	0	0	0
Zotu1008	0	0	0
Zotu873	0	0	0
Zotu972	0	0	0
Zotu636	0	0	0
Zotu1133	0	0	0
Zotu1123	0	0	0
Zotu866	0	0	0
Zotu1135	0	0	0
Zotu976	0	0	0
Zotu1124	0	0	0
Zotu497	0	0	0
Zotu478	0	0	0
Zotu1132	0	0	0
Zotu970	0	0	0
Zotu349	0	0	0
Zotu880	0	0	0
Zotu1121	0	0	0
Zotu427	0	0	0
Zotu248	0	0	0
Zotu644	0	0	0
Zotu1131	0	0	0
Zotu755	0	0	0
Zotu551	0	0	0
Zotu922	0	0	0
Zotu389	0	0	0
Zotu609	0	0	0
Zotu908	0	0	0
Zotu607	0	0	0
Zotu404	0	0	0
Zotu403	0	0	0
Zotu667	0	0	0
Zotu552	0	0	0
Zotu311	0	0	0
Zotu252	0	0	0
Zotu260	0	0	0
Zotu591	0	0	0
Zotu176	0	0	0
Zotu1106	0	0	0
Zotu827	0	0	0
Zotu830	0	0	0
Zotu1104	0	0	0
Zotu1110	0	0	0
Zotu663	0	0	0
Zotu313	0	0	0
Zotu207	0	0	0
Zotu143	0	0	0
Zotu635	0	0	0
Zotu577	0	0	0
Zotu1111	0	0	0
Zotu1103	0	0	0
Zotu931	0	0	0
Zotu1116	0	0	0
Zotu323	0	0	0
Zotu439	0	0	0
Zotu179	0	0	0
Zotu568	0	0	0
Zotu333	0	0	0
Zotu480	0	0	0
Zotu857	0	0	0
Zotu910	0	0	0
Zotu758	0	0	0
Zotu392	0	0	0
Zotu753	0	0	0
Zotu1125	0	0	0
Zotu187	0	0	0
Zotu567	0	0	0
Zotu295	0	0	0
Zotu282	0	0	0
Zotu631	0	0	0
Zotu984	0	0	0
Zotu759	0	0	0
Zotu1129	0	0	0
Zotu1109	0	0	0
Zotu454	0	0	0
Zotu1118	0	0	0
Zotu470	0	0	0
Zotu669	0	0	0
Zotu1114	0	0	0
Zotu1120	0	0	0
Zotu870	0	0	0
Zotu750	0	0	0
Zotu1126	0	0	0
Zotu975	0	0	0
Zotu1134	0	0	0
Zotu995	0	0	0
Zotu874	0	0	0
Zotu354	0	0	0
Zotu1006	0	0	0
Zotu675	0	0	0
Zotu163	0	0	0
Zotu429	0	0	0
Zotu373	0	0	0
Zotu217	0	0	0
Zotu1040	0	0	0
Zotu965	0	0	0
Zotu940	0	0	0
Zotu1068	0	0	0
Zotu954	0	0	0
Zotu951	0	0	0
Zotu695	0	0	0
Zotu1097	0	0	0
Zotu270	0	0	0
Zotu757	0	0	0
Zotu939	0	0	0
Zotu626	0	0	0
Zotu676	0	0	0
Zotu1020	0	0	0
Zotu756	0	0	0
Zotu862	0	0	0
Zotu907	0	0	0
Zotu436	0	0	0
Zotu715	0	0	0
Zotu747	0	0	0
Zotu573	0	0	0
Zotu1150	0	0	0
Zotu833	0	0	0
Zotu287	0	0	0
Zotu683	0	0	0
Zotu277	0	0	0
Zotu612	0	0	0
Zotu919	0	0	0
Zotu823	0	0	0
Zotu1143	0	0	0
Zotu1145	0	0	0
Zotu723	0	0	0
Zotu460	0	0	0
Zotu256	0	0	0
Zotu721	0	0	0
Zotu1138	0	0	0
Zotu837	0	0	0
Zotu994	0	0	0
Zotu639	0	0	0
Zotu1152	0	0	0
Zotu1139	0	0	0
Zotu1154	0	0	0
Zotu316	0	0	0
Zotu1147	0	0	0
Zotu330	0	0	0
Zotu894	0	0	0
Zotu895	0	0	0
Zotu513	0	0	0
Zotu1156	0	0	0
Zotu153	0	0	0
Zotu828	0	0	0
Zotu946	0	0	0
Zotu1159	0	0	0
Zotu104	0	0	0
Zotu181	0	0	0
Zotu1170	0	0	0
Zotu343	0	0	0
Zotu704	0	0	0
Zotu396	0	0	0
Zotu421	0	0	0
Zotu957	0	0	0
Zotu958	0	0	0
Zotu1162	0	0	0
Zotu728	0	0	0
Zotu727	0	0	0
Zotu624	0	0	0
Zotu938	0	0	0
Zotu945	0	0	0
Zotu489	0	0	0
Zotu848	0	0	0
Zotu737	0	0	0
Zotu713	0	0	0
Zotu901	0	0	0
Zotu926	0	0	0
Zotu424	0	0	0
Zotu1166	0	0	0
Zotu1168	0	0	0
Zotu307	0	0	0
Zotu335	0	0	0
Zotu320	0	0	0
Zotu272	0	0	0
Zotu712	0	0	0
Zotu554	0	0	0
Zotu851	0	0	0
Zotu184	0	0	0
Zotu250	0	0	0
Zotu351	0	0	0
Zotu854	0	0	0
Zotu37	0	0	0
Zotu853	0	0	0
Zotu852	0	0	0
Zotu1017	0	0	0
Zotu855	0	0	0
Zotu1016	0	0	0
Zotu504	0	0	0
Zotu502	0	0	0
Zotu414	0	0	0
Zotu843	0	0	0
Zotu844	0	0	0
Zotu416	0	0	0
Zotu503	0	0	0
Zotu1072	0	0	0
Zotu222	0	0	0
Zotu1019	0	0	0
Zotu482	0	0	0
Zotu821	0	0	0
Zotu628	0	0	0
Zotu794	0	0	0
Zotu431	0	0	0
